"","RIVTYPE","DDef14","B14","C14","D14","E14","F14","A14","tot_leng14","B18","C18","A18","D18","F18","DDef18","E18","tot_leng18","B","C","A","D","F","DDef","E","tot_leng24","eoo_km2","prp18_cdef","prp18_def","prp18_ef","prp18_f","prp24_cdef","prp24_def","prp24_ef","prp24_f","pes_decline1418","pes_decline1824","D3_18","D3_24","B1_18","B1_24","RLE_18","RLE_24","A3sa_24","A3sa_18","zone"
"12","11_P_L",1220463.5043017,1227277.78240999,4121310.19877504,1281488.02827204,586182.444258252,5521.01021265068,0,8442242.96822967,1280210.65599474,4452316.7628745,10.7354552767919,1467764.65705591,559158.201079209,8442.31116362721,674339.644606415,8442242.96822967,878987.132789125,4507720.15063614,10.7354552767919,2061109.97565449,235948.214351153,8442.31116362721,750024.448179861,8442242.96822967,183426.80940329,0.847355293200727,0.319969765488517,0.14611020440037,0.0662333698737959,0.894880995163525,0.360932829065979,0.116790367943861,0.0279485221213233,"decline1418","decline1824","LC","EN","LC","LC","LC","EN","CR","CR","Lower foothill"
"13","11_P_M",24771.4745707857,17605.3410956067,30712.4566271275,7820.26730203519,8559.53792182885,0,0,89469.0775173839,24022.2425611431,43720.1109900725,0,9989.72724882888,1328.31444028107,0,10408.6822770584,89469.077517384,15628.5410752149,49487.5583701749,0,17244.112211824,1012.62835493712,0,6096.23750523298,89469.0775173839,126499.07135683,0.731502288525602,0.242840594415952,0.131184952868872,0.0148466316758768,0.825319076614171,0.272194357511536,0.0794561211250764,0.0113181937607479,"decline1418","decline1824","LC","LC","LC","LC","LC","LC","CR","EN","Mountain stream"
"14","11_P_U",600874.680543935,438279.267569523,1077276.22695673,366214.083198029,274859.127656937,0,2769.75695212496,2760273.14287727,469740.830089703,1293667.67854123,2769.75695212496,498865.100739687,171390.449167016,10203.6643474658,313635.663040051,2760273.14287727,366327.892178662,1432477.47290798,2769.75695212496,659823.013486464,83281.8975325293,9491.61891959524,206101.490899917,2760273.14287727,187879.443792937,0.825120838988377,0.356447047816854,0.175716708854936,0.0620918439210551,0.862843549006261,0.343881330863318,0.104838678439916,0.030171614627137,"decline1418","nodecline1824","LC","EN","LC","LC","LC","EN","CR","CR","Upper foothill"
"15","12_N_F",0,3304.26389859087,0,0,0,0,0,3304.26389859087,3304.26389859087,0,0,0,0,0,0,3304.26389859087,3304.26389859087,0,0,0,0,0,0,3304.26389859087,0.5599516640625,0,0,0,0,0,0,0,0,"nodecline1418","nodecline1824","LC","LC","LC","LC","LC","LC","LC","LC","Lowland river"
"16","12_N_L",165154.393627496,14272.2694999262,0,0,0,0,0,179426.663127422,14272.2694999262,0,135604.04575209,22245.4971022717,7304.8507731346,0,0,179426.663127422,14272.2694999262,0,135604.04575209,22245.4971022717,7304.8507731346,0,0,179426.663127422,8495.04625910937,0.164693180825754,0.164693180825754,0.040712180931253,0.040712180931253,0.164693180825754,0.164693180825754,0.040712180931253,0.040712180931253,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","LC","LC","Lower foothill"
"17","12_N_M",7744.44215435652,13184.7213051748,0,0,0,0,0,20929.1634595313,18328.0769607132,0,1123.18382549148,1477.90267332668,0,0,0,20929.1634595313,18328.0769607132,0,1123.18382549148,1477.90267332668,0,0,0,20929.1634595313,2284.19407527344,0.0706145124330629,0.0706145124330629,0,0,0.0706145124330629,0.0706145124330629,0,0,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","LC","LC","Mountain stream"
"18","12_N_U",103125.228958867,161214.852912918,0,0,0,0,0,264340.081871785,161214.852912918,0,84666.2769487249,16932.5457517299,1526.4062584118,0,0,264340.081871785,161214.852912918,0,84666.2769487249,16932.5457517299,1526.4062584118,0,0,264340.081871785,10677.8230479844,0.069830318124419,0.069830318124419,0.00577440336555606,0.00577440336555606,0.069830318124419,0.069830318124419,0.00577440336555606,0.00577440336555606,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","LC","LC","Upper foothill"
"19","12_P_F",11613.87272168,12726.7465650122,2954.03401191824,0,0,0,0,27294.6532986104,18425.4218992938,0,0,8869.23139931655,0,0,0,27294.6532986104,15471.3878873756,2954.03401191824,0,8869.23139931655,0,0,0,27294.6532986104,467.514549695312,0.324943911259283,0.324943911259283,0,0,0.433171481677576,0.324943911259283,0,0,"decline1418","nodecline1824","LC","EN","CR","LC","CR","EN","LC","LC","Lowland river"
"20","12_P_L",95807.2565184491,15600.8449584438,0,0,0,0,0,111408.101476893,38664.9570940721,0,18010.9611744307,30602.1133968466,5973.1045421616,0,18156.9652693819,111408.101476893,38664.9570940721,0,18010.9611744307,30602.1133968466,5973.1045421616,0,18156.9652693819,111408.101476893,5360.1151073125,0.491276509363568,0.491276509363568,0.216591697476761,0.0536146336126235,0.491276509363568,0.491276509363568,0.216591697476761,0.0536146336126235,"decline1418","nodecline1824","LC","EN","EN","LC","EN","EN","VU","VU","Lower foothill"
"21","12_P_M",1071.82689926343,1372.2120032922,0,0,0,0,0,2444.03890255562,1576.22196015705,0,0,0,0,867.816942398571,0,2444.03890255562,1576.22196015705,0,0,0,0,867.816942398571,0,2444.03890255562,186.271134757812,0,0,0,0,0,0,0,0,"nodecline1418","nodecline1824","LC","LC","LC","LC","LC","LC","LC","LC","Mountain stream"
