"","zone","CR","EN","VU","LC","Total"
"1","Total",89917,44456,1497,43652,179522
"2","Lowland river",15565,5238,41,158,21002
"3","Lower foothill",47347,13583,111,14086,75127
"4","Upper foothill",26305,23133,1345,25790,76573
"5","Mountain stream",700,2502,0,3618,6820
