"","ETS_EPL24","Lower foothill","Lowland river","Mountain stream","Upper foothill","Total"
"1","LC_WP",3,1,7,3,14
"2","LC_MP",2,1,4,0,7
"3","VU_WP",1,0,0,0,1
"4","VU_MP",0,0,0,2,2
"5","LC_PP",5,1,7,9,22
"6","LC_NP",3,3,5,4,15
"7","VU_PP",0,0,0,1,1
"8","VU_NP",0,1,0,0,1
"9","EN_WP",0,1,0,0,1
"10","EN_MP",2,2,5,1,10
"11","CR_WP",0,0,1,0,1
"12","CR_MP",0,5,3,2,10
"13","EN_PP",10,4,7,10,31
"14","EN_NP",1,1,3,4,9
"15","CR_PP",17,14,10,12,53
"16","CR_NP",14,15,4,11,44
"17","Total",58,49,56,59,222
