"","zone","CR","EN","VU","LC","Total","RLIE"
"1","Total",108,51,8,55,222,0.458558558558559
"2","Lowland river",34,8,2,5,49,0.330612244897959
"3","Lower foothill",31,13,1,13,58,0.431034482758621
"4","Upper foothill",25,15,5,14,59,0.474576271186441
"5","Mountain stream",18,15,0,23,56,0.582142857142857
