"","zone","CR","EN","VU","LC"
"1","Lowland river",0.002,0.005,0.149,0.844
"2","Lower foothill",0,0.01,0.099,0.891
"3","Upper foothill",0,0.006,0.036,0.958
"4","Mountain stream",0,0,0.027,0.973
