"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"185","4_P_U",176298.806322292,464904.61213654,0,210646.57139206,20240.5293243037,0,0,872090.519175196,0,0.202156545044236
"186","5_N_L",23543.2415493825,28562.209252513,31790.883633242,52735.4178898454,1437.69959777468,0,0,138069.451922758,0,0.400770224057824
"187","5_N_M",0,2850.13834257317,0,6938.03107019484,0,0,0,9788.16941276801,0,0
"188","5_N_U",23867.5065933389,77970.5990697006,12160.9290017523,168602.729368449,2682.37146882775,314.002488047468,0,285598.137990116,0.00109945565561892,0.126150807034806
"189","5_P_L",0,56813.5695606956,0,106752.736206017,289.924366547585,0,0,163856.23013326,0,0
"190","5_P_M",0,492.292622531558,0,2904.49926442115,0,0,0,3396.79188695271,0,0
"191","5_P_U",0,27225.5419079781,0,125130.452467904,6932.44199781632,0,0,159288.436373699,0,0
"192","6_N_L",3877.29982269267,55008.2622688529,0,0,916.556948989395,0,0,59802.119040535,0,0.0648354922016152
"193","6_N_M",4072.84403789039,10059.788192335,112.960782457388,1274.52439941893,0,0,0,15520.1174121017,0,0.269701878484755
"194","6_N_U",81089.0101820189,112890.266154749,3196.01008947516,62659.8357423227,9613.4977119413,0,0,269448.619880507,0,0.312805537133099
"195","6_P_F",0,37106.8147834196,0,0,0,0,0,37106.8147834196,0,0
"196","6_P_L",54282.2880495515,118114.911570866,0,81744.7428913056,10428.8816245618,0,0,264570.824136285,0,0.205171103906717
