"","zone","CR","EN","VU","LC"
"1","Lowland river",0.006,0.644,0.053,0.296
"2","Lower foothill",0,0.417,0.016,0.568
"3","Upper foothill",0,0.173,0,0.827
"4","Mountain stream",0.002,0.191,0.001,0.805
