"","zone","CR","EN","VU","LC","Total"
"1","Total",87359,35000,767,56398,179524
"2","Lowland river",17285,2279,8,1430,21002
"3","Lower foothill",44709,10381,759,19278,75127
"4","Upper foothill",24812,20159,0,31602,76573
"5","Mountain stream",553,2181,0,4088,6822
