"","zone","CR","EN","VU","LC"
"1","Lowland river",0.741,0.249,0.002,0.008
"2","Lower foothill",0.63,0.181,0.001,0.187
"3","Upper foothill",0.344,0.302,0.018,0.337
"4","Mountain stream",0.103,0.367,0,0.53
