"","zone","CR","EN","VU","LC","Total"
"1","Total",51,1328,13487,164658,179524
"2","Lowland river",51,100,3121,17731,21003
"3","Lower foothill",0,767,7415,66945,75127
"4","Upper foothill",0,461,2766,73346,76573
"5","Mountain stream",0,0,185,6636,6821
