"","zone","CR","EN","VU","LC","Total","RLIE"
"1","Total",18,36,48,120,222,0.751351351351351
"2","Lowland river",14,9,14,12,49,0.546938775510204
"3","Lower foothill",0,10,10,38,58,0.827586206896552
"4","Upper foothill",1,9,13,36,59,0.806779661016949
"5","Mountain stream",3,8,11,34,56,0.792857142857143
