"","RIVTYPE","zone","RLE18","RLE24","RLEsa18","RLEsa24","extent","EPL18","EPL24","RLE_EPL24"
"82","1_P_U","Upper foothill","VU","VU","LC","VU",60293.7280840812,"MP","MP","VU_MP"
"83","20_N_F","Lowland river","VU","VU","CR","CR",37107.5659989359,"MP","MP","VU_MP"
"84","20_N_L","Lower foothill","EN","EN","EN","CR",310333.681170983,"PP","PP","EN_PP"
"85","20_N_M","Mountain stream","EN","EN","LC","EN",32535.5626721596,"MP","PP","EN_PP"
"86","20_N_U","Upper foothill","CR","CR","LC","CR",610437.17720854,"PP","PP","CR_PP"
"87","20_P_F","Lowland river","CR","CR","CR","CR",301062.221272897,"MP","PP","CR_PP"
"88","20_P_L","Lower foothill","CR","CR","EN","EN",565278.495686836,"PP","PP","CR_PP"
"89","20_P_M","Mountain stream","EN","EN","LC","LC",129732.187540563,"WP","WP","EN_WP"
"90","20_P_U","Upper foothill","EN","EN","LC","VU",875134.261467306,"MP","MP","EN_MP"
"91","21_N_F","Lowland river","EN","EN","CR","CR",23347.0514446664,"NP","NP","EN_NP"
"92","21_N_L","Lower foothill","CR","CR","LC","LC",3397027.88123237,"PP","PP","CR_PP"
"93","21_N_M","Mountain stream","CR","CR","LC","LC",479169.708985965,"PP","PP","CR_PP"
"94","21_N_U","Upper foothill","CR","CR","LC","LC",7216204.39002568,"PP","PP","CR_PP"
"95","21_P_F","Lowland river","CR","CR","CR","CR",2804.51661193631,"PP","PP","CR_PP"
"96","21_P_L","Lower foothill","CR","CR","LC","EN",599502.951979188,"PP","PP","CR_PP"
"97","21_P_M","Mountain stream","LC","LC","LC","LC",4435.52982995588,"PP","PP","LC_PP"
"98","21_P_U","Upper foothill","CR","CR","LC","LC",115019.248421261,"NP","NP","CR_NP"
"99","22_N_L","Lower foothill","EN","VU","CR","CR",321393.814302824,"NP","NP","VU_NP"
"100","22_N_M","Mountain stream","VU","VU","CR","CR",40951.0961537509,"PP","PP","VU_PP"
"101","22_N_U","Upper foothill","VU","VU","CR","CR",471956.737718359,"NP","NP","VU_NP"
"102","22_P_F","Lowland river","VU","VU","CR","CR",368011.82223739,"PP","PP","VU_PP"
"103","22_P_L","Lower foothill","VU","VU","CR","CR",982205.51757877,"NP","PP","VU_PP"
"104","22_P_M","Mountain stream","EN","EN","CR","CR",143028.697180264,"MP","MP","EN_MP"
"105","22_P_U","Upper foothill","EN","EN","CR","CR",634133.222731253,"PP","PP","EN_PP"
"106","23_N_F","Lowland river","CR","CR","CR","CR",2247.16526010169,"PP","PP","CR_PP"
"107","23_N_L","Lower foothill","CR","CR","CR","CR",69237.6489363091,"NP","NP","CR_NP"
"108","23_N_M","Mountain stream","EN","EN","LC","LC",121106.727159035,"WP","WP","EN_WP"
"109","23_N_U","Upper foothill","CR","CR","LC","VU",409379.101988443,"PP","PP","CR_PP"
"110","23_P_F","Lowland river","CR","CR","EN","EN",114283.761802501,"NP","NP","CR_NP"
"111","23_P_L","Lower foothill","CR","CR","VU","EN",647463.891095327,"PP","PP","CR_PP"
"112","23_P_M","Mountain stream","EN","EN","LC","EN",334547.942247815,"WP","MP","EN_MP"
"113","23_P_U","Upper foothill","EN","EN","LC","EN",1119350.87078135,"MP","MP","EN_MP"
"114","24_N_F","Lowland river","EN","EN","CR","CR",47252.9674656556,"NP","NP","EN_NP"
"115","24_N_L","Lower foothill","CR","CR","CR","CR",445762.118199506,"PP","PP","CR_PP"
"116","24_N_M","Mountain stream","VU","VU","CR","CR",80314.6149557962,"PP","PP","VU_PP"
