"","zone","CR","EN","VU","LC","Total","RLIE"
"1","Total",97,45,3,77,222,0.523423423423423
"2","Lowland river",32,7,1,9,49,0.383673469387755
"3","Lower foothill",27,12,2,17,58,0.489655172413793
"4","Upper foothill",23,11,0,25,59,0.576271186440678
"5","Mountain stream",15,15,0,26,56,0.625
